,age,ratings,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,is_weekend,pickup_time_minutes,order_time_of_day,distance,distance_type
130,26.0,5.0,fog,low,2,meal,scooter,1.0,no,urban,11,1,10.0,morning,1.520431947999248,short
131,31.0,4.6,cloudy,jam,0,snack,motorcycle,0.0,no,metropolitian,25,0,15.0,night,9.087972744661085,medium
132,32.0,4.9,fog,low,2,snack,motorcycle,0.0,no,metropolitian,18,0,5.0,morning,3.0644871057616707,short
133,27.0,4.7,cloudy,low,1,buffet,motorcycle,0.0,no,metropolitian,14,0,5.0,morning,3.025144329113595,short
134,21.0,4.9,windy,medium,0,drinks,motorcycle,2.0,no,metropolitian,36,1,15.0,afternoon,13.973206773137713,long
137,33.0,4.4,sandstorms,low,0,snack,motorcycle,1.0,no,metropolitian,28,1,10.0,morning,1.5368503798521727,short
138,20.0,4.6,fog,jam,0,buffet,motorcycle,0.0,yes,metropolitian,44,0,15.0,evening,13.97317756157655,long
139,31.0,4.3,windy,low,0,snack,motorcycle,1.0,no,metropolitian,20,1,15.0,night,9.348403522662325,medium
141,36.0,5.0,fog,jam,1,snack,motorcycle,1.0,no,metropolitian,35,0,10.0,evening,10.602467987619507,long
142,31.0,4.2,sandstorms,jam,0,meal,motorcycle,1.0,no,metropolitian,50,0,10.0,night,17.076258901183188,very_long
143,39.0,4.1,stormy,jam,1,meal,scooter,1.0,no,metropolitian,34,0,5.0,night,9.22083460710881,medium
145,29.0,4.6,sandstorms,high,1,snack,scooter,0.0,no,urban,23,0,10.0,afternoon,6.080882967594328,medium
146,37.0,4.9,fog,medium,0,buffet,motorcycle,1.0,no,metropolitian,27,0,10.0,evening,4.67414369897644,short
148,31.0,3.9,cloudy,low,1,buffet,scooter,1.0,no,metropolitian,35,0,10.0,night,10.709003371535417,long
151,24.0,4.6,stormy,medium,0,snack,motorcycle,0.0,no,metropolitian,30,0,10.0,afternoon,17.137482577838597,very_long
154,39.0,4.8,cloudy,high,0,snack,motorcycle,1.0,no,metropolitian,28,0,15.0,morning,6.21800234869445,medium
155,20.0,4.7,sandstorms,medium,0,drinks,motorcycle,1.0,no,metropolitian,24,1,10.0,afternoon,12.463883024166657,long
156,20.0,5.0,cloudy,jam,0,meal,motorcycle,1.0,no,urban,36,0,15.0,evening,20.20658151050797,very_long
157,29.0,4.3,sandstorms,low,0,buffet,motorcycle,0.0,no,metropolitian,28,1,5.0,night,9.081116432461174,medium
158,36.0,4.8,fog,medium,2,drinks,motorcycle,1.0,no,urban,31,0,5.0,evening,17.138077427627866,very_long
159,36.0,4.0,sunny,jam,0,meal,motorcycle,3.0,no,metropolitian,44,0,5.0,evening,13.631343698142908,long
160,22.0,4.8,windy,low,1,drinks,scooter,1.0,no,metropolitian,15,0,15.0,night,12.074063090452917,long
161,38.0,4.4,windy,medium,0,buffet,motorcycle,1.0,no,metropolitian,33,0,5.0,afternoon,10.723264172167632,long
162,39.0,4.9,fog,jam,0,buffet,motorcycle,0.0,no,metropolitian,30,0,15.0,evening,7.600994631258685,medium
163,24.0,4.9,stormy,medium,1,snack,scooter,1.0,no,metropolitian,22,0,10.0,evening,7.562982485200135,medium
165,35.0,4.8,fog,medium,0,meal,motorcycle,3.0,no,metropolitian,48,0,10.0,afternoon,13.829314445199353,long
166,33.0,4.5,stormy,low,2,drinks,electric_scooter,1.0,no,metropolitian,19,0,15.0,night,13.969116967730173,long
167,39.0,4.7,windy,medium,1,snack,motorcycle,1.0,no,urban,21,0,5.0,evening,10.92326745824626,long
168,31.0,4.3,windy,jam,1,drinks,motorcycle,0.0,no,metropolitian,44,0,10.0,night,12.117036432265502,long
169,37.0,4.5,windy,low,2,drinks,scooter,0.0,no,metropolitian,26,0,15.0,morning,1.5525704156536744,short
170,37.0,4.7,windy,low,1,buffet,scooter,1.0,no,metropolitian,26,0,5.0,night,4.663566689152146,short
171,33.0,5.0,windy,high,1,meal,motorcycle,1.0,no,metropolitian,31,1,5.0,morning,1.5294972211332267,short
173,33.0,4.5,sunny,jam,1,snack,scooter,0.0,no,metropolitian,18,0,5.0,evening,11.916757259074618,long
174,39.0,4.7,fog,medium,2,meal,motorcycle,1.0,no,metropolitian,38,0,15.0,evening,10.486117701549256,long
175,37.0,4.6,cloudy,medium,1,snack,motorcycle,1.0,no,metropolitian,32,0,10.0,evening,13.583078662317007,long
176,25.0,4.9,sandstorms,low,2,meal,scooter,1.0,no,metropolitian,17,0,5.0,night,7.6831914051315,medium
177,28.0,4.8,fog,medium,1,buffet,scooter,1.0,no,urban,11,0,5.0,evening,9.193093962702912,medium
178,38.0,4.7,windy,high,2,buffet,motorcycle,1.0,no,metropolitian,31,0,10.0,afternoon,6.2178836475581045,medium
180,31.0,4.6,windy,medium,0,meal,motorcycle,0.0,no,metropolitian,25,1,10.0,afternoon,9.326872529115304,medium
181,25.0,4.8,cloudy,jam,2,snack,motorcycle,1.0,no,metropolitian,22,0,15.0,evening,9.179538450826048,medium
182,35.0,4.9,fog,jam,0,drinks,motorcycle,3.0,no,metropolitian,43,0,5.0,night,10.880651848535559,long
183,39.0,4.7,fog,jam,0,buffet,motorcycle,1.0,yes,metropolitian,42,0,10.0,evening,10.565262855251525,long
184,38.0,3.9,stormy,jam,1,meal,motorcycle,0.0,no,metropolitian,42,1,10.0,evening,12.100062421152574,long
185,35.0,4.7,fog,jam,1,drinks,motorcycle,1.0,no,metropolitian,34,0,10.0,night,4.657159718107683,short
186,29.0,4.7,sandstorms,low,1,snack,motorcycle,1.0,no,metropolitian,17,0,15.0,morning,2.9812178551917965,short
187,27.0,4.6,stormy,jam,1,snack,scooter,0.0,no,metropolitian,25,0,5.0,evening,4.56126563284071,short
188,38.0,4.3,sandstorms,jam,0,meal,motorcycle,1.0,yes,semi-urban,54,0,10.0,night,13.989916877275611,long
189,36.0,4.9,windy,low,2,buffet,motorcycle,0.0,no,metropolitian,21,0,15.0,night,10.64228895373868,long
191,26.0,4.1,fog,jam,2,meal,motorcycle,1.0,no,metropolitian,36,1,5.0,evening,13.428477357470895,long
192,36.0,4.9,sunny,medium,1,drinks,motorcycle,0.0,no,metropolitian,17,0,10.0,afternoon,9.32728515796102,medium
193,21.0,4.7,sunny,low,0,meal,motorcycle,1.0,no,metropolitian,16,0,10.0,morning,1.489792976782627,short
194,35.0,4.7,sunny,jam,2,meal,electric_scooter,1.0,no,metropolitian,27,0,5.0,evening,12.418394742110447,long
195,20.0,4.5,fog,high,2,meal,motorcycle,1.0,no,metropolitian,26,0,5.0,morning,6.217860689144307,medium
196,23.0,4.6,fog,jam,0,snack,motorcycle,2.0,yes,metropolitian,46,0,15.0,night,13.787803344501583,long
197,37.0,5.0,sunny,jam,0,buffet,motorcycle,0.0,no,metropolitian,29,0,10.0,evening,9.080187058763224,medium
198,26.0,4.8,sandstorms,jam,0,snack,motorcycle,1.0,no,metropolitian,23,0,5.0,evening,9.31544163550089,medium
200,26.0,4.9,stormy,medium,1,snack,motorcycle,0.0,no,metropolitian,28,0,15.0,afternoon,16.636875038860897,very_long
201,29.0,4.8,cloudy,jam,0,meal,motorcycle,1.0,no,metropolitian,25,0,5.0,evening,9.19295116708344,medium
202,29.0,4.7,sandstorms,low,2,snack,motorcycle,0.0,no,metropolitian,11,0,15.0,morning,3.0182264849996012,short
203,21.0,4.9,windy,medium,1,meal,scooter,1.0,no,metropolitian,26,0,10.0,evening,4.395420246829376,short
204,22.0,4.3,stormy,low,0,meal,motorcycle,1.0,no,metropolitian,23,0,15.0,morning,3.109059104393369,short
205,31.0,4.0,fog,medium,1,snack,motorcycle,2.0,no,metropolitian,39,0,15.0,afternoon,11.916582838288104,long
208,36.0,4.8,fog,medium,0,snack,motorcycle,1.0,no,metropolitian,43,1,15.0,afternoon,10.868263117988388,long
210,32.0,4.7,windy,low,2,buffet,electric_scooter,0.0,no,metropolitian,25,0,10.0,morning,1.554424975889475,short
211,25.0,5.0,windy,medium,1,drinks,motorcycle,0.0,no,metropolitian,27,1,5.0,evening,9.313017158714828,medium
212,27.0,4.5,windy,medium,2,drinks,scooter,1.0,no,metropolitian,29,0,15.0,afternoon,6.147106622705506,medium
213,32.0,4.1,sandstorms,medium,0,buffet,motorcycle,1.0,no,metropolitian,33,0,15.0,evening,10.867300462045835,long
214,23.0,4.7,fog,medium,1,drinks,motorcycle,1.0,no,urban,19,0,5.0,afternoon,6.209259882041872,medium
215,39.0,4.4,sunny,medium,0,meal,motorcycle,1.0,no,metropolitian,33,0,5.0,evening,20.18085916835158,very_long
218,29.0,4.6,stormy,jam,1,meal,scooter,1.0,no,metropolitian,29,0,15.0,evening,4.494291162003504,short
219,26.0,4.9,stormy,low,2,meal,scooter,1.0,no,metropolitian,18,0,5.0,night,20.85172635753384,very_long
220,25.0,5.0,stormy,low,1,meal,motorcycle,1.0,no,metropolitian,14,1,5.0,morning,1.5605734793807475,short
221,34.0,4.7,windy,medium,1,snack,motorcycle,1.0,no,metropolitian,30,1,15.0,afternoon,6.210589610314177,medium
222,31.0,4.9,sunny,high,0,snack,motorcycle,0.0,no,metropolitian,28,1,15.0,afternoon,6.17528357530834,medium
224,30.0,4.9,cloudy,medium,2,meal,motorcycle,0.0,no,metropolitian,30,1,15.0,evening,13.830084721845328,long
225,36.0,4.8,sandstorms,medium,0,buffet,motorcycle,1.0,no,metropolitian,36,1,5.0,evening,19.37374583495492,very_long
227,26.0,4.7,cloudy,jam,0,meal,motorcycle,1.0,no,metropolitian,43,0,5.0,evening,20.851557402660557,very_long
230,33.0,4.7,fog,medium,2,buffet,electric_scooter,1.0,no,urban,15,0,15.0,evening,7.76260023979039,medium
232,34.0,4.0,windy,jam,0,snack,motorcycle,2.0,no,metropolitian,39,1,5.0,night,13.76685500858734,long
233,36.0,4.6,windy,low,0,buffet,motorcycle,1.0,no,metropolitian,20,0,10.0,night,12.293677673573285,long
234,33.0,4.6,fog,low,1,buffet,motorcycle,1.0,no,metropolitian,15,0,10.0,morning,2.9846372692856606,short
235,22.0,4.8,sandstorms,low,1,drinks,motorcycle,1.0,no,metropolitian,16,0,15.0,night,16.78827586251448,very_long
236,38.0,4.7,sunny,low,2,drinks,scooter,1.0,no,metropolitian,19,1,15.0,morning,1.5320227740641719,short
237,27.0,4.9,fog,low,2,drinks,scooter,0.0,no,metropolitian,20,0,15.0,night,12.421407858787804,long
238,32.0,4.8,sunny,jam,2,meal,scooter,1.0,no,metropolitian,25,0,10.0,night,10.444776155165918,long
239,26.0,4.8,cloudy,jam,0,snack,motorcycle,1.0,no,metropolitian,43,1,10.0,evening,12.42075005031367,long
240,29.0,4.5,windy,low,0,drinks,motorcycle,0.0,no,urban,15,0,10.0,night,19.659373527443684,very_long
241,31.0,4.5,sunny,jam,0,buffet,motorcycle,0.0,no,urban,29,0,15.0,evening,12.46418980459368,long
242,28.0,4.6,stormy,high,2,drinks,motorcycle,0.0,no,metropolitian,14,1,15.0,morning,6.1462436583934315,medium
243,21.0,4.8,sunny,medium,1,buffet,motorcycle,1.0,no,metropolitian,11,0,5.0,evening,8.92908688893574,medium
246,29.0,4.7,cloudy,medium,2,buffet,motorcycle,1.0,no,urban,11,0,5.0,afternoon,5.992096714696517,medium
247,20.0,4.8,sunny,high,1,snack,motorcycle,0.0,no,metropolitian,14,0,10.0,morning,1.5297232853100244,short
248,28.0,5.0,windy,low,0,snack,motorcycle,0.0,no,urban,15,0,10.0,night,13.73594217639692,long
249,25.0,4.7,sandstorms,low,0,meal,motorcycle,1.0,no,metropolitian,16,0,10.0,night,10.705559922396555,long
251,38.0,4.8,stormy,low,1,buffet,motorcycle,1.0,no,metropolitian,20,0,5.0,morning,3.1048037532854496,short
252,39.0,4.9,stormy,low,1,drinks,motorcycle,1.0,no,metropolitian,26,0,10.0,night,4.610073053799191,short
253,26.0,4.9,windy,medium,1,snack,scooter,0.0,no,metropolitian,26,1,5.0,afternoon,9.122100805601145,medium
254,33.0,4.4,windy,jam,1,meal,motorcycle,0.0,no,urban,43,0,15.0,night,10.906036622245484,long
255,24.0,4.6,sandstorms,medium,0,snack,motorcycle,1.0,no,urban,25,0,10.0,evening,9.08801379933047,medium
256,24.0,4.9,fog,medium,0,buffet,motorcycle,1.0,no,metropolitian,28,0,10.0,afternoon,6.232303380306801,medium
257,33.0,4.5,stormy,low,2,buffet,scooter,0.0,no,metropolitian,17,0,15.0,night,13.611566722125085,long
258,35.0,4.2,windy,jam,1,drinks,motorcycle,1.0,no,metropolitian,44,1,10.0,evening,13.611428630407849,long
259,27.0,4.2,stormy,jam,0,buffet,motorcycle,1.0,no,metropolitian,33,0,5.0,evening,13.763896210757977,long
261,29.0,4.5,sunny,medium,0,snack,motorcycle,0.0,no,metropolitian,15,1,5.0,evening,4.657591594952301,short
262,34.0,4.7,fog,low,1,buffet,scooter,1.0,no,metropolitian,27,1,10.0,night,19.34348721744278,very_long
263,20.0,4.7,cloudy,high,2,meal,scooter,1.0,no,metropolitian,25,0,15.0,morning,2.9845125598688362,short
264,29.0,4.8,sunny,high,1,drinks,motorcycle,1.0,no,metropolitian,18,0,5.0,afternoon,6.058876303739157,medium
265,22.0,4.9,stormy,medium,2,snack,scooter,0.0,no,metropolitian,21,0,5.0,evening,9.088084092164259,medium
266,35.0,4.9,cloudy,jam,0,buffet,motorcycle,2.0,no,metropolitian,53,0,15.0,night,10.41706579035871,long
267,32.0,4.4,sandstorms,jam,0,drinks,motorcycle,3.0,no,metropolitian,42,1,10.0,night,17.164833902684475,very_long
268,28.0,4.9,sunny,jam,2,snack,motorcycle,1.0,no,metropolitian,20,0,15.0,night,16.11387241182587,very_long
269,30.0,4.7,fog,low,1,meal,scooter,0.0,no,metropolitian,29,0,10.0,night,20.253686339517458,very_long
270,22.0,4.7,stormy,jam,2,snack,scooter,0.0,no,urban,15,0,10.0,evening,17.076258901183188,very_long
271,36.0,4.7,fog,medium,0,buffet,motorcycle,1.0,no,metropolitian,30,0,15.0,evening,7.79036212453358,medium
272,23.0,4.8,windy,jam,0,snack,motorcycle,1.0,no,metropolitian,28,1,5.0,evening,19.76218981785925,very_long
274,29.0,4.5,sandstorms,low,2,meal,motorcycle,1.0,no,metropolitian,15,0,10.0,night,19.8395614419349,very_long
